cluster	entrezgene_id	external_gene_name	Number of datasets	max(|logFC|)	logFC	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
cluster_1	2213.0	FCGR2B	6.0	1.53005092862488	1.53005092862488									
cluster_1	22836.0	RHOBTB3	10.0	1.51743565824052	1.51743565824052									
cluster_1	56829.0	ZC3HAV1	9.0	1.50728238335962	1.50728238335962									
cluster_1	219681.0	ARMC3	3.0	1.50548309396549	1.50548309396549									
cluster_1	644139.0	PIRT	5.0	1.50091362861689	1.50091362861689									
cluster_1	960.0	CD44	13.0	1.49733585290454	1.49733585290454									
cluster_1	80217.0	CFAP43	5.0	1.49641160374074	1.49641160374074									
cluster_1	5698.0	PSMB9	7.0	1.49288785412343	1.49288785412343									
cluster_1	5698.0	PSMB9	7.0	1.49288785412343	1.49288785412343									
cluster_1	5698.0	PSMB9	7.0	1.49288785412343	1.49288785412343									
cluster_1	5698.0	PSMB9	7.0	1.49288785412343	1.49288785412343									
cluster_1	5698.0	PSMB9	7.0	1.49288785412343	1.49288785412343									
cluster_1	5698.0	PSMB9	7.0	1.49288785412343	1.49288785412343									
cluster_1	5698.0	PSMB9	7.0	1.49288785412343	1.49288785412343									
cluster_1	5698.0	PSMB9	7.0	1.49288785412343	1.49288785412343									
cluster_1	187.0	APLNR	10.0	1.48862170597437	1.48862170597437									
cluster_1	84168.0	ANTXR1	9.0	1.48442814175836	1.48442814175836									
cluster_1	4257.0	MGST1	6.0	1.46385208675601	1.46385208675601									
cluster_1	3115.0	HLA-DPB1	9.0	1.46380756770291	1.46380756770291									
cluster_1	3115.0	HLA-DPB1	9.0	1.46380756770291	1.46380756770291									
cluster_1	3115.0	HLA-DPB1	9.0	1.46380756770291	1.46380756770291									
cluster_1	3115.0	HLA-DPB1	9.0	1.46380756770291	1.46380756770291									
cluster_1	3115.0	HLA-DPB1	9.0	1.46380756770291	1.46380756770291									
cluster_1	3115.0	HLA-DPB1	9.0	1.46380756770291	1.46380756770291									
cluster_1	3115.0	HLA-DPB1	9.0	1.46380756770291	1.46380756770291									
cluster_1	3115.0	HLA-DPB1	9.0	1.46380756770291	1.46380756770291									
cluster_1	3075.0	CFH	7.0	1.44558245043281	1.44558245043281									
cluster_1	27151.0	CPAMD8	3.0	1.44463576000604	1.44463576000604									
cluster_1	3491.0	CCN1	3.0	1.44337094951283	1.44337094951283									
cluster_1	2123.0	EVI2A	3.0	1.44280228369169	1.44280228369169									
cluster_1	57471.0	ERMN	3.0	1.43187360165972	1.43187360165972									
cluster_1	8334.0	H2AC6	5.0	1.42626360933588	1.42626360933588									
cluster_1	3306.0	HSPA2	3.0	1.42273131744003	1.42273131744003									
cluster_1	100505702.0		4.0	1.42219494133394	1.42219494133394									
cluster_1	6281.0	S100A10	6.0	1.42075902258248	1.42075902258248									
cluster_1	1902.0	LPAR1	3.0	1.41794021056428	1.41794021056428									
cluster_1	128344.0	PIFO	5.0	1.41214250863308	1.41214250863308									
cluster_1	55540.0	IL17RB	7.0	1.41013827765821	1.41013827765821									
cluster_1	79993.0	ELOVL7	10.0	1.40920028804602	1.40920028804602									
cluster_1	57730.0	ANKRD36B	6.0	1.40511715826361	1.40511715826361									
cluster_1	1410.0	CRYAB	7.0	1.40043500731628	1.40043500731628									
cluster_1	133121.0	ENPP6	1.0	1.39512512343733	1.39512512343733									
cluster_1	25937.0	WWTR1	10.0	1.39512503395636	1.39512503395636									
cluster_1	100505929.0		1.0	1.38891823833543	1.38891823833543									
cluster_1	144809.0	FAM216B	1.0	1.38692110322016	1.38692110322016									
cluster_1	221476.0	PI16	4.0	1.38508155828072	1.38508155828072									
cluster_1	7450.0	VWF	11.0	1.38367580012768	1.38367580012768									
cluster_1	11326.0	VSIG4	9.0	1.38123752858232	1.38123752858232									
cluster_1	80975.0	TMPRSS5	5.0	1.37611108963559	1.37611108963559									
cluster_1	22802.0	CLCA4	2.0	1.36659794582189	1.36659794582189									
cluster_1	8701.0	DNAH11	3.0	1.36654239103471	1.36654239103471									
cluster_1	1358.0	CPA2	2.0	1.35661746952899	1.35661746952899									
cluster_1	58480.0	RHOU	5.0	1.3550878923653	1.3550878923653									
cluster_1	58480.0	RHOU	5.0	1.3550878923653	1.3550878923653									
cluster_1	80343.0	SEL1L2	3.0	1.35127620680579	1.35127620680579									
cluster_1	8773.0	SNAP23	10.0	1.3433284839721	1.3433284839721									
cluster_1	55914.0	ERBIN	11.0	1.34265839706472	1.34265839706472									
cluster_1	54762.0	GRAMD1C	8.0	1.34041300124507	1.34041300124507									
cluster_1	9383.0	TSIX	2.0	1.33926033437959	1.33926033437959									
cluster_1	93978.0	CLEC6A	2.0	1.33811303395772	1.33811303395772									
cluster_1	865.0	CBFB	9.0	1.33803607075513	1.33803607075513									
cluster_1	7097.0	TLR2	9.0	1.3369105874638	1.3369105874638									
cluster_1	745.0	MYRF	5.0	1.33525650425806	1.33525650425806									
cluster_1	5265.0	SERPINA1	9.0	1.33434547344393	1.33434547344393									
cluster_1	5265.0	SERPINA1	9.0	1.33434547344393	1.33434547344393									
cluster_1	828.0	CAPS	11.0	1.33267723795923	1.33267723795923									
cluster_1	4493.0	MT1E	8.0	1.32443510812265	1.32443510812265									
cluster_1	1536.0	CYBB	7.0	1.32377422035275	1.32377422035275									
cluster_1	57834.0	CYP4F11	4.0	1.32292063650772	1.32292063650772									
cluster_1	8531.0	YBX3	8.0	1.32244791709654	1.32244791709654									
cluster_1	6385.0	SDC4	7.0	1.32188297767185	1.32188297767185									
cluster_1	167410.0	LIX1	6.0	1.31400092138407	1.31400092138407									
cluster_1	5696.0	PSMB8	6.0	1.31234498269944	1.31234498269944									
cluster_1	5696.0	PSMB8	6.0	1.31234498269944	1.31234498269944									
cluster_1	5696.0	PSMB8	6.0	1.31234498269944	1.31234498269944									
cluster_1	5696.0	PSMB8	6.0	1.31234498269944	1.31234498269944									
cluster_1	5696.0	PSMB8	6.0	1.31234498269944	1.31234498269944									
cluster_1	5696.0	PSMB8	6.0	1.31234498269944	1.31234498269944									
cluster_1	5696.0	PSMB8	6.0	1.31234498269944	1.31234498269944									
cluster_1	5696.0	PSMB8	6.0	1.31234498269944	1.31234498269944									
cluster_1	9288.0	TAAR3P	2.0	1.30922322159649	1.30922322159649									
cluster_1	6696.0	SPP1	6.0	1.3087028454685	1.3087028454685									
cluster_1	712.0	C1QA	7.0	1.30842442610106	1.30842442610106									
cluster_1	25840.0	METTL7A	8.0	1.30736120510357	1.30736120510357									
cluster_1	6446.0	SGK1	7.0	1.30590588716803	1.30590588716803									
cluster_1	66002.0	CYP4F12	7.0	1.30583124512592	1.30583124512592									
cluster_1	2018.0	EMX2	8.0	1.30372086814706	1.30372086814706									
cluster_1	3659.0	IRF1	3.0	1.30238118570309	1.30238118570309									
cluster_1	443.0	ASPA	3.0	1.29984256753177	1.29984256753177									
cluster_1	286827.0	TRIM59	3.0	1.2990167488197	1.2990167488197									
cluster_1	4502.0	MT2A	9.0	1.29653470902018	1.29653470902018									
cluster_1	440248.0	HERC2P9	8.0	1.29554776016429	1.29554776016429									
cluster_1	440248.0	HERC2P9	8.0	1.29554776016429	1.29554776016429									
cluster_1	400322.0		8.0	1.29554776016429	1.29554776016429									
cluster_1	6890.0	TAP1	5.0	1.29044214594973	1.29044214594973									
cluster_1	6890.0	TAP1	5.0	1.29044214594973	1.29044214594973									
cluster_1	6890.0	TAP1	5.0	1.29044214594973	1.29044214594973									
cluster_1	6890.0	TAP1	5.0	1.29044214594973	1.29044214594973									
cluster_1	6890.0	TAP1	5.0	1.29044214594973	1.29044214594973									
cluster_1	6890.0	TAP1	5.0	1.29044214594973	1.29044214594973									
cluster_1	6890.0	TAP1	5.0	1.29044214594973	1.29044214594973									
cluster_1	6890.0	TAP1	5.0	1.29044214594973	1.29044214594973									
cluster_1	2670.0	GFAP	11.0	1.28430270669121	1.28430270669121									
cluster_1	3691.0	ITGB4	14.0	1.28266753819159	1.28266753819159									
cluster_1	51703.0	ACSL5	8.0	1.28239352985874	1.28239352985874									
cluster_1	339512.0	CCDC190	5.0	1.27977902890993	1.27977902890993									
cluster_1	4494.0	MT1F	11.0	1.27742854535976	1.27742854535976									
cluster_1	8832.0	CD84	9.0	1.27516178456053	1.27516178456053									
cluster_1	100288332.0	NPIPA5	11.0	1.27427810053561	1.27427810053561									
cluster_1	100288332.0	NPIPA9	11.0	1.27427810053561	1.27427810053561									
cluster_1	100288332.0	NPIPA5	11.0	1.27427810053561	1.27427810053561									
cluster_1	100288332.0	NPIPA9	11.0	1.27427810053561	1.27427810053561									
cluster_1	100288332.0	NPIPA9	11.0	1.27427810053561	1.27427810053561									
cluster_1	613037.0	NPIPB13	8.0	1.27427810053561	1.27427810053561									
cluster_1	57722.0	IGDCC4	7.0	1.27354877055158	1.27354877055158									
cluster_1	6651.0	SON	5.0	1.27189436388119	1.27189436388119									
cluster_1	3059.0	HCLS1	9.0	1.26835123730962	1.26835123730962									
cluster_1	79901.0	CYBRD1	8.0	1.26575578221224	1.26575578221224									
cluster_1	825.0	CAPN3	6.0	1.26304353039217	1.26304353039217									
cluster_1	4495.0	MT1G	9.0	1.26290764591366	1.26290764591366									
cluster_1	117248.0	GALNT15	11.0	1.26215414226425	1.26215414226425									
cluster_1	4821.0	NKX2-2	4.0	1.26134131874574	1.26134131874574									
cluster_1	1287.0	COL4A5	4.0	1.26099212494715	1.26099212494715									
cluster_1	81035.0	COLEC12	9.0	1.25785556622965	1.25785556622965									
cluster_1	6242.0	RTKN	5.0	1.25328638599256	1.25328638599256									
cluster_1	9499.0	MYOT	6.0	1.25306319081932	1.25306319081932									
cluster_1	871.0	SERPINH1	6.0	1.25057382514518	1.25057382514518									
cluster_1	3399.0	ID3	10.0	1.2501152989717	1.2501152989717									
cluster_1	3399.0	ID3	10.0	1.2501152989717	1.2501152989717									
cluster_1	127795.0	C1orf87	6.0	1.24929752753335	1.24929752753335									
cluster_1	2872.0	MKNK2	10.0	1.24815211733594	1.24815211733594									
cluster_1	196410.0	METTL7B	6.0	1.2468237094415	1.2468237094415									
cluster_1	123.0	PLIN2	7.0	1.24496061922125	1.24496061922125									
cluster_1	5168.0	ENPP2	2.0	1.2446190118741	1.2446190118741									
cluster_1	26018.0	LRIG1	9.0	1.24434725989462	1.24434725989462									
cluster_1	643314.0		8.0	1.24242908113625	1.24242908113625									
cluster_1	28904.0		2.0	1.24227492959027	1.24227492959027									
cluster_1	2697.0	GJA1	9.0	1.24190986009084	1.24190986009084									
cluster_1	644314.0		1.0	1.24046799328553	1.24046799328553									
cluster_1	285800.0	PRR18	2.0	1.23928675597749	1.23928675597749									
cluster_1	83690.0	CRISPLD1	3.0	1.23870288541038	1.23870288541038									
cluster_1	6423.0	SFRP2	2.0	1.2383243830188	1.2383243830188									
cluster_1	2124.0	EVI2B	8.0	1.23670568292112	1.23670568292112									
cluster_1	11170.0	FAM107A	13.0	1.23377112493606	1.23377112493606									
cluster_1	54209.0	TREM2	9.0	1.23340616658414	1.23340616658414									
cluster_1	8354.0	H3C11	8.0	1.23290542771039	1.23290542771039									
cluster_1	2318.0	FLNC	5.0	1.23240805287236	1.23240805287236									
cluster_1	6678.0	SPARC	5.0	1.23179253502605	1.23179253502605									
cluster_1	719.0	C3AR1	9.0	1.23027899868244	1.23027899868244									
cluster_1	341883.0	LRRC9	2.0	1.22851612011827	1.22851612011827									
cluster_1	57088.0	PLSCR4	9.0	1.22610173497733	1.22610173497733									
cluster_1	8519.0	IFITM1	7.0	1.2236281857228	1.2236281857228									
cluster_1	3082.0	HGF	7.0	1.22231095862366	1.22231095862366									
cluster_1	3920.0	LAMP2	11.0	1.21882345825344	1.21882345825344									
cluster_1	388677.0	NOTCH2NLA	12.0	1.21101007084329	1.21101007084329									
cluster_1	5788.0	PTPRC	7.0	1.2103244751411	1.2103244751411									
cluster_1	5788.0	PTPRC	7.0	1.2103244751411	1.2103244751411									
cluster_1	26471.0	NUPR1	11.0	1.20958175770997	1.20958175770997									
cluster_1	28231.0	SLCO4A1	8.0	1.20719325195452	1.20719325195452									
cluster_1	23150.0	FRMD4B	3.0	1.20583305502917	1.20583305502917									
cluster_1	219736.0	STOX1	7.0	1.20383906162301	1.20383906162301									
cluster_1	4496.0	MT1H	10.0	1.20056262271759	1.20056262271759									
cluster_1	389831.0		2.0	1.20052335318903	1.20052335318903									
cluster_1	102724951.0		1.0	1.20052335318903	1.20052335318903									
cluster_1	10261.0	IGSF6	5.0	1.19685475328228	1.19685475328228									
cluster_1	10261.0	IGSF6	5.0	1.19685475328228	1.19685475328228									
cluster_1	8857.0	FCGBP	7.0	1.19546674489306	1.19546674489306									
cluster_1	8857.0	FCGBP	7.0	1.19546674489306	1.19546674489306									
cluster_1	4057.0	LTF	3.0	1.19523006209608	1.19523006209608									
cluster_1	9450.0	LY86	6.0	1.19496119921105	1.19496119921105									
cluster_1	9705.0	ST18	5.0	1.19202654499327	1.19202654499327									
cluster_1	4921.0	DDR2	11.0	1.18845597980002	1.18845597980002									
cluster_1	3486.0	IGFBP3	2.0	1.18756316751861	1.18756316751861									
cluster_1	23677.0	SH3BP4	8.0	1.18493865571183	1.18493865571183									
cluster_1	94015.0	TTYH2	3.0	1.18247550955041	1.18247550955041									
cluster_1	57717.0	PCDHB16	3.0	1.18135101437627	1.18135101437627									
cluster_1	9124.0	PDLIM1	6.0	1.17832401556233	1.17832401556233									
cluster_1	341.0	APOC1	8.0	1.17734754092008	1.17734754092008									
cluster_1	2634.0	GBP2	6.0	1.17692858152684	1.17692858152684									
cluster_1	6542.0	SLC7A2	8.0	1.17638325857186	1.17638325857186									
cluster_1	126820.0	DNAI3	3.0	1.17444427745703	1.17444427745703									
cluster_1	54832.0	VPS13C	8.0	1.17403403123075	1.17403403123075									
cluster_1	51365.0	PLA1A	7.0	1.1725324449525	1.1725324449525									
cluster_1	8938.0	BAIAP3	3.0	1.1695205188443	1.1695205188443									
cluster_1	26119.0	LDLRAP1	4.0	1.168651254891	1.168651254891									
cluster_1	220963.0	SLC16A9	8.0	1.16838001456159	1.16838001456159									
cluster_1	80303.0	EFHD1	11.0	1.16700259427014	1.16700259427014									
cluster_1	401124.0	DTHD1	2.0	1.16677117543698	1.16677117543698									
cluster_1	3162.0	HMOX1	8.0	1.16671983223767	1.16671983223767									
cluster_1	8991.0	SELENBP1	7.0	1.16544051547409	1.16544051547409									
cluster_1	65983.0	GRAMD2B	8.0	1.16521524405002	1.16521524405002									
cluster_1	440359.0		1.0	1.16517343199579	1.16517343199579									
cluster_1	79899.0	PRR5L	4.0	1.16302275389749	1.16302275389749									
cluster_1	3118.0	HLA-DQA2	7.0	1.16241547963756	1.16241547963756									
cluster_1	3118.0	HLA-DQA2	7.0	1.16241547963756	1.16241547963756									
cluster_1	3118.0	HLA-DQA2	7.0	1.16241547963756	1.16241547963756									
cluster_1	3118.0	HLA-DQA2	7.0	1.16241547963756	1.16241547963756									
cluster_1	3118.0	HLA-DQA2	7.0	1.16241547963756	1.16241547963756									
cluster_1	3118.0	HLA-DQA2	7.0	1.16241547963756	1.16241547963756									
cluster_1	3118.0	HLA-DQA2	7.0	1.16241547963756	1.16241547963756									
cluster_1	3118.0	HLA-DQA2	7.0	1.16241547963756	1.16241547963756									
cluster_1	951.0	CD37	7.0	1.16163685781243	1.16163685781243									
cluster_1	57817.0	HAMP	3.0	1.16133656351419	1.16133656351419									
cluster_1	254295.0	PHYHD1	9.0	1.16121904182729	1.16121904182729									
cluster_1	10581.0	IFITM2	10.0	1.16002732718279	1.16002732718279									
cluster_1	2669.0	GEM	9.0	1.15941471487662	1.15941471487662									
cluster_1	128653.0	C20orf141	1.0	1.15851254774138	1.15851254774138									
cluster_1	10875.0	FGL2	6.0	1.15623407675439	1.15623407675439									
cluster_1	23460.0	ABCA6	2.0	1.1559027831321	1.1559027831321									
cluster_1	968.0	CD68	5.0	1.15435318377606	1.15435318377606									
cluster_1	3428.0	IFI16	7.0	1.15434904134247	1.15434904134247									
cluster_1	6036.0	RNASE2	5.0	1.15430657654138	1.15430657654138									
cluster_1	4853.0	NOTCH2	11.0	1.15422673586612	1.15422673586612									
cluster_1	64114.0	TMBIM1	8.0	1.15398061787904	1.15398061787904									
cluster_1	10346.0	TRIM22	7.0	1.15161577707869	1.15161577707869									
cluster_1	9770.0	RASSF2	1.0	1.15100807594784	1.15100807594784									
cluster_1	374618.0	TEX9	3.0	1.15039520560478	1.15039520560478									
cluster_1	1837.0	DTNA	12.0	1.14986286968313	1.14986286968313									
cluster_1	3119.0	HLA-DQB1	8.0	1.14935596603104	1.14935596603104									
cluster_1	3119.0	HLA-DQB1	8.0	1.14935596603104	1.14935596603104									
cluster_1	3119.0	HLA-DQB1	8.0	1.14935596603104	1.14935596603104									
cluster_1	3119.0	HLA-DQB1	8.0	1.14935596603104	1.14935596603104									
cluster_1	3119.0	HLA-DQB1	8.0	1.14935596603104	1.14935596603104									
cluster_1	3119.0	HLA-DQB1	8.0	1.14935596603104	1.14935596603104									
cluster_1	3119.0	HLA-DQB1	8.0	1.14935596603104	1.14935596603104									
cluster_1	965.0	CD58	7.0	1.14922302811794	1.14922302811794									
cluster_1	10577.0	NPC2	9.0	1.14781524143558	1.14781524143558									
cluster_1	100616211.0	MIR4709	4.0	1.14781524143558	1.14781524143558									
cluster_1	2533.0	FYB1	8.0	1.14671537450112	1.14671537450112									
cluster_1	963.0	CD53	8.0	1.14660368668297	1.14660368668297									
cluster_1	221035.0	REEP3	7.0	1.14654283543372	1.14654283543372									
cluster_1	54947.0	LPCAT2	6.0	1.14645807649098	1.14645807649098									
cluster_1	59340.0	HRH4	1.0	1.14371549879432	1.14371549879432									
cluster_1	1512.0	CTSH	10.0	1.14344861617949	1.14344861617949									
cluster_1	2766.0	GMPR	13.0	1.14271344495622	1.14271344495622									
cluster_1	221458.0	KIF6	6.0	1.14051267420252	1.14051267420252									
cluster_1	6299.0	SALL1	5.0	1.13897513570926	1.13897513570926									
cluster_1	51284.0	TLR7	4.0	1.13694035454965	1.13694035454965									
cluster_1	84125.0	LRRIQ1	4.0	1.13608673314971	1.13608673314971									
cluster_1	51177.0	PLEKHO1	2.0	1.13385088958852	1.13385088958852									
cluster_1	5276.0	SERPINI2	4.0	1.132697772024	1.132697772024									
cluster_1	2359.0	FPR3	5.0	1.13009793493374	1.13009793493374									
cluster_1	84417.0	ECRG4	2.0	1.12990392131721	1.12990392131721									
cluster_1	6579.0	SLCO1A2	5.0	1.12652499478846	1.12652499478846									
cluster_1	10257.0	ABCC4	7.0	1.12484353149281	1.12484353149281									
cluster_1	10628.0	TXNIP	9.0	1.12361887555211	1.12361887555211									
cluster_1	2052.0	EPHX1	6.0	1.12355097906652	1.12355097906652									
cluster_1	60675.0	PROK2	4.0	1.12040608818599	1.12040608818599									
cluster_1	4643.0	MYO1E	4.0	1.11965011699111	1.11965011699111									
cluster_1	7852.0	CXCR4	3.0	1.11962305035426	1.11962305035426									
cluster_1	51330.0	TNFRSF12A	4.0	1.11934633270307	1.11934633270307									
cluster_1	54504.0	CPVL	5.0	1.11719159390914	1.11719159390914									
cluster_1	57467.0	HHATL	4.0	1.11713913819454	1.11713913819454									
cluster_1	29923.0	HILPDA	4.0	1.11647885187439	1.11647885187439									
cluster_1	7465.0	WEE1	6.0	1.11595623603339	1.11595623603339									
cluster_1	128346.0	C1orf162	6.0	1.11462415339595	1.11462415339595									
cluster_1	6414.0	SELENOP	7.0	1.11244768074401	1.11244768074401									
cluster_1	23586.0	DDX58	4.0	1.1122765250223	1.1122765250223									
cluster_1	64780.0	MICAL1	2.0	1.11087089734852	1.11087089734852									
cluster_1	1880.0	GPR183	1.0	1.11049842478316	1.11049842478316									
cluster_1	440585.0	FAM183A	2.0	1.10886201400818	1.10886201400818									
cluster_1	58526.0	MID1IP1	11.0	1.10833686929754	1.10833686929754									
cluster_1	8787.0	RGS9	3.0	1.1057376175601	1.1057376175601									
cluster_1	219654.0	ZCCHC24	7.0	1.10540842219781	1.10540842219781									
cluster_1	8424.0	BBOX1	7.0	1.10469267127721	1.10469267127721									
cluster_1	3067.0	HDC	3.0	1.10295628043734	1.10295628043734									
cluster_1	4064.0	CD180	5.0	1.10270435194551	1.10270435194551									
cluster_1	51148.0	CERCAM	2.0	1.10198260926106	1.10198260926106									
cluster_1	6876.0	TAGLN	2.0	1.1017410377278	1.1017410377278									
cluster_1	57466.0	SCAF4	10.0	1.10165694299978	1.10165694299978									
cluster_1	56650.0	CLDND1	6.0	1.10067664494788	1.10067664494788									
cluster_1	347.0	APOD	4.0	1.10050880884751	1.10050880884751									
cluster_1	1770.0	DNAH9	4.0	1.09849006316803	1.09849006316803									
cluster_1	57522.0	SRGAP1	10.0	1.0984676266966	1.0984676266966									
cluster_1	2246.0	FGF1	8.0	1.09767145864217	1.09767145864217									
cluster_1	3988.0	LIPA	3.0	1.09720577747034	1.09720577747034									
cluster_1	101926887.0		2.0	1.09720577747034	1.09720577747034									
cluster_1	10226.0	PLIN3	7.0	1.09531280638554	1.09531280638554									
cluster_1	30812.0	SOX8	3.0	1.09515335282164	1.09515335282164									
cluster_1	649446.0		8.0	1.09216947396916	1.09216947396916									
cluster_1	51131.0	PHF11	7.0	1.09159580737215	1.09159580737215									
